name,RottenTomatoes,Metacritic,IMDB,Fandango_Stars,Fandango_Ratingvalue,Metacritic_user_vote_count,IMDB_user_vote_count,Fandango_votes
True Story (2015),45,50,6.3,3.5,3.2,37,16069,540
Child 44 (2015),26,41,6.4,4,3.7,73,19220,308
Dark Places (2015),26,39,6.3,4,3.7,18,9856,55
Birdman (2014),92,88,7.9,4,3.7,1171,303505,4194
The Gift (2015),93,77,7.6,4,3.7,121,10891,2680
Unfriended (2015),60,59,5.9,3,2.7,130,22348,2507
Monkey Kingdom (2015),94,72,7.3,4.5,4.2,15,883,701
Mr. Turner (2014),98,94,6.9,3.5,3.2,98,13296,290
Seymour: An Introduction (2015),100,83,7.7,4.5,4.2,4,243,41
The Wrecking Crew (2015),93,67,7.8,4.5,4.2,4,732,38
American Sniper (2015),72,72,7.4,5,4.8,850,251856,34085
Furious 7 (2015),81,67,7.4,5,4.8,764,207211,33538
The Hobbit: The Battle of the Five Armies (2014),61,59,7.5,4.5,4.3,903,289464,15337
San Andreas (2015),50,43,6.5,4.5,4.3,199,45723,9749
Straight Outta Compton (2015),90,72,8.4,5,4.8,90,15982,8096
Vacation (2015),27,34,6.3,4,3.8,72,8179,3815
Chappie (2015),30,41,7,4,3.8,637,125088,3642
Poltergeist (2015),31,47,5,3,2.8,142,21372,2704
Paper Towns (2015),55,56,6.9,4,3.8,51,14156,1750
Big Eyes (2014),72,62,7,4,3.8,127,39152,1501
Blackhat (2015),34,51,5.4,3,2.8,80,27328,1430
Self/less (2015),20,34,6.6,4,3.8,77,5626,1415
Sinister 2 (2015),13,31,5.5,3.5,3.3,37,3200,973
Little Boy (2015),20,30,7.4,4.5,4.3,38,5927,811
Me and Earl and The Dying Girl (2015),81,74,8.2,4.5,4.3,41,5269,624
Maggie (2015),54,52,5.6,3.5,3.3,90,18986,95
Mad Max: Fury Road (2015),97,89,8.3,4.5,4.3,2375,292023,10509
Spy (2015),93,75,7.3,4.5,4.3,318,66636,9418
The SpongeBob Movie: Sponge Out of Water (2015),78,62,6.1,3.5,3.3,196,26046,4493
Paddington (2015),98,77,7.2,4.5,4.3,149,38593,4045
Dope (2015),87,72,7.5,4.5,4.3,43,4911,2195
What We Do in the Shadows (2015),96,75,7.6,4.5,4.3,69,39561,259
The Overnight (2015),82,65,6.9,3.5,3.3,13,867,110
The Salt of the Earth (2015),96,83,8.4,4.5,4.3,13,6605,83
Song of the Sea (2014),99,86,8.2,4.5,4.3,62,14067,66
Fifty Shades of Grey (2015),25,46,4.2,4,3.9,778,179506,34846
Get Hard (2015),29,34,6.1,4,3.9,145,50022,5933
Focus (2015),57,56,6.6,4,3.9,167,101264,4933
Jupiter Ascending (2015),26,40,5.5,3.5,3.4,503,105412,4122
The Gallows (2015),16,30,4.4,3,2.9,80,5511,1896
The Second Best Exotic Marigold Hotel (2015),62,51,6.6,4,3.9,41,12940,1870
Strange Magic (2015),17,25,5.7,3.5,3.4,41,3658,1117
The Gunman (2015),17,39,5.8,3.5,3.4,49,16663,996
Hitman: Agent 47 (2015),7,28,5.9,4,3.9,67,4260,917
Cake (2015),49,49,6.5,3.5,3.4,44,19627,482
The Vatican Tapes (2015),13,37,4.6,3,2.9,5,952,210
A Little Chaos (2015),40,51,6.4,4,3.9,7,4778,83
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),67,58,7.1,4,3.9,5,17237,63
Escobar: Paradise Lost (2015),52,56,6.6,4,3.9,7,7819,48
Into the Woods (2014),71,69,6,3.5,3.4,307,81679,13055
It Follows (2015),96,83,6.9,3,2.9,551,64656,2097
Inherent Vice (2014),73,81,6.7,3,2.9,286,44711,1078
A Most Violent Year (2014),90,79,7.1,3.5,3.4,133,32166,675
While We're Young (2015),83,76,6.4,3,2.9,65,17647,449
Clouds of Sils Maria (2015),89,78,6.8,3.5,3.4,36,11392,162
Testament of Youth (2015),81,77,7.3,4,3.9,15,5495,127
Infinitely Polar Bear (2015),80,64,7.2,4,3.9,8,1062,124
Phoenix (2015),99,91,7.2,3.5,3.4,21,3687,70
The Wolfpack (2015),84,75,7.1,3.5,3.4,8,1488,66
The Stanford Prison Experiment (2015),84,68,7.1,4,3.9,6,950,51
Tangerine (2015),95,86,7.4,4,3.9,14,696,36
Magic Mike XXL (2015),62,60,6.3,4.5,4.4,52,11937,9363
Home (2015),45,55,6.7,4.5,4.4,177,41158,7705
The Wedding Ringer (2015),27,35,6.7,4.5,4.4,126,37292,6506
Woman in Gold (2015),52,51,7.4,4.5,4.4,72,17957,2435
The Last Five Years (2015),60,60,6,4.5,4.4,20,4110,99
Mission: Impossible Ì¢‰âÂ‰ÛÏ Rogue Nation (2015),92,75,7.8,4.5,4.4,362,82579,8357
Amy (2015),97,85,8,4.5,4.4,60,5630,729
Jurassic World (2015),71,59,7.3,4.5,4.5,1281,241807,34390
Minions (2015),54,56,6.7,4,4,204,55895,14998
Max (2015),35,47,7,4.5,4.5,15,5444,3412
Paul Blart: Mall Cop 2 (2015),5,13,4.3,3.5,3.5,211,15004,3054
The Longest Ride (2015),31,33,7.2,4.5,4.5,49,25214,2603
The Lazarus Effect (2015),14,31,5.2,3,3,62,17691,1651
The Woman In Black 2 Angel of Death (2015),22,42,4.9,3,3,55,14873,1333
Danny Collins (2015),77,58,7.1,4,4,33,11206,531
Spare Parts (2015),52,50,7.2,4.5,4.5,7,47377,450
Serena (2015),18,36,5.4,3,3,19,12165,50
Inside Out (2015),98,94,8.6,4.5,4.5,807,96252,15749
Mr. Holmes (2015),87,67,7.4,4,4,33,7367,1348
'71 (2015),97,83,7.2,3.5,3.5,60,24116,192
"Two Days, One Night (2014)",97,89,7.4,3.5,3.5,123,24345,118
Gett: The Trial of Viviane Amsalem (2015),100,90,7.8,3.5,3.5,19,1955,59
"Kumiko, The Treasure Hunter (2015)",87,68,6.7,3.5,3.5,19,5289,41
